,Year,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,Actual value,Response
0,2012,0.02,0.1,0.13,0.55,0.2,0.75,241
1,2013,0.01,0.05,0.16,0.5,0.29,0.78,347
2,2014,0.0,0.07,0.15,0.62,0.15,0.77,345
3,2015,0.01,0.08,0.15,0.58,0.18,0.76,410
4,2016,0.04,0.09,0.18,0.5,0.19,0.69,458
5,2017,0.03,0.12,0.22,0.47,0.15,0.62,414
6,2018,0.0397,0.0893,0.2242,0.5041,0.1426,0.6467,499
7,2019,0.0363,0.103,0.1572,0.4907,0.2128,0.7035,477
8,2020,0.0154,0.0552,0.1389,0.5481,0.2424,0.7905,460
9,2021,0.0285,0.0788,0.1446,0.5064,0.2418,0.7482,515
