,Year,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,Actual value,Response
0,2012,0.02,0.06,0.13,0.53,0.26,0.79,760
1,2013,0.01,0.05,0.13,0.53,0.28,0.81,761
2,2014,0.01,0.06,0.15,0.55,0.22,0.78,784
3,2015,0.02,0.07,0.14,0.52,0.25,0.77,782
4,2016,0.03,0.09,0.15,0.51,0.23,0.74,912
5,2017,0.02,0.08,0.18,0.5,0.21,0.71,943
6,2018,0.0394,0.09,0.1851,0.5021,0.1834,0.6855,1167
7,2019,0.0244,0.0768,0.1545,0.5086,0.2358,0.7444,1107
8,2020,0.0174,0.0569,0.1138,0.5429,0.269,0.812,1037
9,2021,0.0284,0.0655,0.1266,0.5263,0.2532,0.7795,1161
